Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	protein phosphorylation (GO:0006468)	13/470	5.764130e-08	6.150327e-05	0	0	8.023119e+00	1.337376e+02	MAP3K3;PRKCH;CSNK1A1;PRKCA;PAK1;ERBB4;RPS6KA1;FAM20B;ABL2;FYN;RAF1;IKBKE;CDK15
GO_Biological_Process_2018	cytokine-mediated signaling pathway (GO:0019221)	14/633	2.648693e-07	1.413078e-04	0	0	6.418939e+00	9.720861e+01	MAP3K3;LAMA5;FOXO3;TNFRSF1A;PSMA6;IFNG;HNRNPF;MYC;IL2RB;UBE2N;NCAM1;TNFRSF14;CCL1;FYN
GO_Biological_Process_2018	cellular protein modification process (GO:0006464)	17/1001	5.058819e-07	1.799253e-04	0	0	5.032489e+00	7.295581e+01	PRKCH;FBXW7;CSNK1A1;PRKCA;KNG1;PSMA6;PAK1;HLCS;RPS6KA1;FAM20B;UBE2N;ABL2;FYN;RAF1;IKBKE;CDK15;ENGASE
GO_Biological_Process_2018	regulation of apoptotic process (GO:0042981)	15/815	9.727193e-07	2.594729e-04	0	0	5.350187e+00	7.406354e+01	MAP3K3;HTT;FOXO3;KNG1;TNFRSF1A;PAK1;ERBB4;MYC;IL2RB;RPS6KA1;ABL2;TNFRSF14;FYN;RAF1;IFT57
GO_Biological_Process_2018	phosphorylation (GO:0016310)	10/386	3.967522e-06	8.466691e-04	0	0	7.218528e+00	8.977950e+01	PAK1;PRKCH;CSNK1A1;RPS6KA1;FAM20B;PRKCA;FYN;RAF1;IKBKE;CDK15
GO_Biological_Process_2018	regulation of programmed cell death (GO:0043067)	8/268	1.417037e-05	2.519965e-03	0	0	8.173805e+00	9.125527e+01	MAP3K3;PAK1;ABL2;TNFRSF14;FYN;RAF1;IFT57;TNFRSF1A
GO_Biological_Process_2018	MAPK cascade (GO:0000165)	8/278	1.845072e-05	2.812416e-03	0	0	7.867067e+00	8.575424e+01	MAP3K3;PSMA6;ERBB4;MYC;IL2RB;NCAM1;FYN;RAF1
GO_Biological_Process_2018	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	5/121	1.403189e-04	1.407055e-02	0	0	1.108486e+01	9.834040e+01	PSMA6;PAK1;UBE2N;FYN;RAF1
GO_Biological_Process_2018	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	5/124	1.574080e-04	1.407055e-02	0	0	1.080378e+01	9.460510e+01	PSMA6;PAK1;UBE2N;FYN;RAF1
GO_Biological_Process_2018	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	6/201	1.775177e-04	1.407055e-02	0	0	7.985020e+00	6.896215e+01	NRP1;FBXW7;ERBB4;PRKCA;CCL1;RAF1
