Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	ErbB signaling pathway	6/85	1.332561e-06	2.531866e-04	0	0	1.982578e+01	2.682113e+02	PAK1;ERBB4;MYC;ABL2;PRKCA;RAF1
KEGG_2021_Human	MAPK signaling pathway	8/294	2.753979e-05	2.616280e-03	0	0	7.420903e+00	7.791859e+01	MAP3K3;PAK1;ERBB4;MYC;RPS6KA1;PRKCA;RAF1;TNFRSF1A
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	5/97	4.911636e-05	3.110702e-03	0	0	1.399351e+01	1.388340e+02	PAK1;PRKCA;ASAP2;RAF1;WASF1
KEGG_2021_Human	Sphingolipid signaling pathway	5/119	1.297417e-04	5.332117e-03	0	0	1.128047e+01	1.009598e+02	PRKCA;FYN;RAF1;KNG1;TNFRSF1A
KEGG_2021_Human	Thyroid hormone signaling pathway	5/121	1.403189e-04	5.332117e-03	0	0	1.108486e+01	9.834040e+01	TBC1D4;MYC;PRKCA;ATP1B1;RAF1
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	5/131	2.034629e-04	5.928887e-03	0	0	1.019996e+01	8.669993e+01	PAK1;IFNG;PRKCA;FYN;RAF1
KEGG_2021_Human	Non-small cell lung cancer	4/72	2.184327e-04	5.928887e-03	0	0	1.496983e+01	1.261812e+02	PRKCA;RAF1;FOXO3;FHIT
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	6/219	2.818955e-04	6.695017e-03	0	0	7.303558e+00	5.969910e+01	MAP3K3;NRP1;VAC14;MYC;IL2RB;TNFRSF1A
KEGG_2021_Human	African trypanosomiasis	3/37	4.667370e-04	8.101752e-03	0	0	2.220849e+01	1.703334e+02	IFNG;PRKCA;KNG1
KEGG_2021_Human	Aldosterone-regulated sodium reabsorption	3/37	4.667370e-04	8.101752e-03	0	0	2.220849e+01	1.703334e+02	NEDD4L;PRKCA;ATP1B1
KEGG_2021_Human	Hepatitis C	5/157	4.690488e-04	8.101752e-03	0	0	8.444122e+00	6.472254e+01	IFNG;MYC;RAF1;IKBKE;TNFRSF1A
KEGG_2021_Human	PI3K-Akt signaling pathway	7/354	6.250629e-04	9.896829e-03	0	0	5.264054e+00	3.883639e+01	LAMA5;ERBB4;MYC;IL2RB;PRKCA;RAF1;FOXO3
KEGG_2021_Human	Influenza A	5/172	7.096859e-04	1.035917e-02	0	0	7.679835e+00	5.568409e+01	IFNG;PRKCA;RAF1;IKBKE;TNFRSF1A
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	4/100	7.633075e-04	1.035917e-02	0	0	1.058868e+01	7.600392e+01	IL2RB;TNFRSF14;CCL1;TNFRSF1A
KEGG_2021_Human	T cell receptor signaling pathway	4/104	8.840554e-04	1.086429e-02	0	0	1.016308e+01	7.145650e+01	PAK1;IFNG;FYN;RAF1
KEGG_2021_Human	Axon guidance	5/182	9.148872e-04	1.086429e-02	0	0	7.242277e+00	5.067211e+01	NRP1;PAK1;PRKCA;FYN;RAF1
KEGG_2021_Human	Focal adhesion	5/201	1.422460e-03	1.538469e-02	0	0	6.533925e+00	4.283228e+01	LAMA5;PAK1;PRKCA;FYN;RAF1
KEGG_2021_Human	Neurotrophin signaling pathway	4/119	1.457497e-03	1.538469e-02	0	0	8.830769e+00	5.767406e+01	MAP3K3;RPS6KA1;RAF1;FOXO3
KEGG_2021_Human	Proteoglycans in cancer	5/205	1.551445e-03	1.551445e-02	0	0	6.401948e+00	4.141144e+01	PAK1;ERBB4;MYC;PRKCA;RAF1
KEGG_2021_Human	Endometrial cancer	3/58	1.742308e-03	1.655192e-02	0	0	1.371438e+01	8.712124e+01	MYC;RAF1;FOXO3
KEGG_2021_Human	Long-term potentiation	3/67	2.634393e-03	2.270004e-02	0	0	1.178046e+01	6.996535e+01	RPS6KA1;PRKCA;RAF1
KEGG_2021_Human	Ras signaling pathway	5/232	2.658775e-03	2.270004e-02	0	0	5.632759e+00	3.340164e+01	PAK1;REL;ABL2;PRKCA;RAF1
KEGG_2021_Human	Fc epsilon RI signaling pathway	3/68	2.747900e-03	2.270004e-02	0	0	1.159864e+01	6.839621e+01	PRKCA;FYN;RAF1
KEGG_2021_Human	Chemical carcinogenesis	5/239	3.020971e-03	2.391602e-02	0	0	5.462315e+00	3.169332e+01	MYC;RPS6KA1;PRKCA;RAF1;IKBKE
KEGG_2021_Human	Pathways of neurodegeneration	7/475	3.348046e-03	2.544515e-02	0	0	3.878917e+00	2.210742e+01	PSMA6;CSNK1A1;HTT;PRKCA;RAF1;IFT57;TNFRSF1A
KEGG_2021_Human	mTOR signaling pathway	4/154	3.712500e-03	2.712981e-02	0	0	6.758291e+00	3.781973e+01	RPS6KA1;PRKCA;RAF1;TNFRSF1A
KEGG_2021_Human	Hepatitis B	4/162	4.444225e-03	3.015724e-02	0	0	6.413502e+00	3.473649e+01	MYC;PRKCA;RAF1;IKBKE
