Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	negative regulation of transcription, DNA-templated (GO:0045892)	11/813	5.624852e-11	1.786763e-08	0	0	2.922666e+01	6.897854e+02	SMARCE1;NCOR2;SMAD3;MECOM;TBL1XR1;BCL3;AHR;RBPJ;PLCB1;RREB1;SMAD7
GO_Biological_Process_2018	positive regulation of transcription, DNA-templated (GO:0045893)	12/1120	7.444845e-11	1.786763e-08	0	0	2.554874e+01	5.958199e+02	NFKBIA;SMAD3;MECOM;TBL1XR1;BCL3;AHR;RBPJ;PLCB1;RREB1;TGFBR1;RUNX1;SMAD7
GO_Biological_Process_2018	positive regulation of nucleic acid-templated transcription (GO:1903508)	9/502	4.836250e-10	7.737999e-08	0	0	3.234059e+01	6.936962e+02	SMAD3;MECOM;TBL1XR1;BCL3;AHR;PLCB1;RREB1;TGFBR1;RUNX1
GO_Biological_Process_2018	positive regulation of gene expression (GO:0010628)	9/771	2.057294e-08	2.468752e-06	0	0	2.063493e+01	3.652236e+02	SMAD3;MECOM;TBL1XR1;BCL3;AHR;PLCB1;RREB1;TGFBR1;RUNX1
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter (GO:0006357)	11/1478	3.115591e-08	2.990968e-06	0	0	1.542399e+01	2.665924e+02	SMARCE1;NFKBIA;NCOR2;SMAD3;MECOM;TBL1XR1;AHR;RBPJ;RREB1;RUNX1;SMAD7
GO_Biological_Process_2018	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	9/848	4.678590e-08	3.742872e-06	0	0	1.866605e+01	3.150397e+02	NFKBIA;SMAD3;MECOM;TBL1XR1;AHR;RBPJ;RREB1;RUNX1;SMAD7
GO_Biological_Process_2018	regulation of transcription, DNA-templated (GO:0006355)	11/1598	6.993038e-08	4.795226e-06	0	0	1.416530e+01	2.333842e+02	SMARCE1;SMAD3;MECOM;TBL1XR1;BCL3;AHR;RBPJ;PLCB1;RREB1;TGFBR1;RUNX1
GO_Biological_Process_2018	regulation of transcription factor import into nucleus (GO:0042990)	3/19	8.201295e-07	4.920777e-05	0	0	2.201912e+02	3.085716e+03	NFKBIA;SMAD3;BCL3
GO_Biological_Process_2018	positive regulation of multicellular organismal process (GO:0051240)	5/202	1.370678e-06	6.812648e-05	0	0	3.347377e+01	4.519028e+02	SMAD3;RBPJ;PLCB1;RREB1;TGFBR1
GO_Biological_Process_2018	negative regulation of gene expression (GO:0010629)	7/618	1.419302e-06	6.812648e-05	0	0	1.706950e+01	2.298467e+02	SMARCE1;NCOR2;MECOM;BCL3;AHR;RBPJ;PLCB1
GO_Biological_Process_2018	negative regulation of nucleic acid-templated transcription (GO:1903507)	6/444	3.444143e-06	1.502899e-04	0	0	1.912133e+01	2.405241e+02	SMARCE1;MECOM;BCL3;AHR;RBPJ;PLCB1
GO_Biological_Process_2018	ventricular cardiac muscle tissue morphogenesis (GO:0055010)	3/34	5.016552e-06	2.006621e-04	0	0	1.135617e+02	1.385767e+03	RBPJ;TGFBR1;SMAD7
GO_Biological_Process_2018	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	6/512	7.805145e-06	2.881900e-04	0	0	1.649407e+01	1.939823e+02	SMARCE1;MECOM;BCL3;AHR;RBPJ;PLCB1
GO_Biological_Process_2018	negative regulation of cell differentiation (GO:0045596)	4/150	1.341186e-05	4.378837e-04	0	0	3.396233e+01	3.810360e+02	NFKBIA;SMAD3;TGFBR1;SMAD7
