Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Th17 cell differentiation	13/107	2.152515e-20	3.185722e-18	0	0	9.811740e+01	4.443253e+03	IL21;SMAD3;IL4R;AHR;GATA3;TGFBR1;IL2;RUNX1;NFKBIA;IL2RA;IL21R;STAT6;CD247
KEGG_2021_Human	Pathways in cancer	15/531	6.341538e-14	4.692738e-12	0	0	2.173860e+01	6.606157e+02	CEBPA;SMAD3;IL4R;NCOA3;CXCR4;FASLG;ETS1;TGFBR1;IL2;RUNX1;NFKBIA;MECOM;IL2RA;STAT6;PLCB1
KEGG_2021_Human	Th1 and Th2 cell differentiation	9/92	1.916260e-13	9.453549e-12	0	0	6.735090e+01	1.972252e+03	NFKBIA;IL4R;IL2RA;STAT6;CD247;GATA3;RBPJ;RUNX3;IL2
KEGG_2021_Human	Inflammatory bowel disease	7/65	5.657058e-11	2.093112e-09	0	0	7.064249e+01	1.666847e+03	IL21;SMAD3;IL4R;IL21R;STAT6;GATA3;IL2
KEGG_2021_Human	Chagas disease	6/102	5.900187e-08	1.635099e-06	0	0	3.546964e+01	5.904169e+02	NFKBIA;FASLG;CD247;PLCB1;TGFBR1;IL2
KEGG_2021_Human	T cell receptor signaling pathway	6/104	6.628780e-08	1.635099e-06	0	0	3.474227e+01	5.742641e+02	NFKBIA;PTPRC;CBLB;CD247;CARD11;IL2
KEGG_2021_Human	Cytokine-cytokine receptor interaction	8/295	1.275958e-07	2.697739e-06	0	0	1.661662e+01	2.637788e+02	IL21;IL4R;IL2RA;IL21R;CXCR4;FASLG;TGFBR1;IL2
KEGG_2021_Human	Chronic myeloid leukemia	5/76	4.668734e-07	8.637157e-06	0	0	3.890454e+01	5.671195e+02	NFKBIA;SMAD3;MECOM;TGFBR1;RUNX1
KEGG_2021_Human	JAK-STAT signaling pathway	6/162	9.152890e-07	1.505142e-05	0	0	2.176154e+01	3.025730e+02	IL21;IL4R;IL2RA;IL21R;STAT6;IL2
KEGG_2021_Human	Epstein-Barr virus infection	6/202	3.300466e-06	4.884690e-05	0	0	1.728542e+01	2.181670e+02	LYN;NFKBIA;NCOR2;CD247;RBPJ;RUNX3
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	6/219	5.254975e-06	7.070330e-05	0	0	1.589215e+01	1.931903e+02	NFKBIA;SMAD3;IL2RA;ETS1;TGFBR1;IL2
KEGG_2021_Human	Measles	5/139	9.244062e-06	1.140101e-04	0	0	2.054830e+01	2.381862e+02	NFKBIA;IL2RA;CBLB;FASLG;IL2
KEGG_2021_Human	Hepatitis B	5/162	1.940435e-05	2.209111e-04	0	0	1.751769e+01	1.900672e+02	NFKBIA;SMAD3;FASLG;STAT6;TGFBR1
KEGG_2021_Human	C-type lectin receptor signaling pathway	4/104	6.025513e-05	6.369828e-04	0	0	2.146919e+01	2.086145e+02	NFKBIA;BCL3;CBLB;IL2
KEGG_2021_Human	Endocytosis	5/252	1.579042e-04	1.557988e-03	0	0	1.108412e+01	9.702509e+01	SMAD3;IL2RA;CXCR4;CBLB;TGFBR1
KEGG_2021_Human	B cell receptor signaling pathway	3/81	6.105396e-04	5.497161e-03	0	0	2.012247e+01	1.489298e+02	LYN;NFKBIA;CARD11
KEGG_2021_Human	Chemokine signaling pathway	4/192	6.314307e-04	5.497161e-03	0	0	1.136918e+01	8.376267e+01	LYN;NFKBIA;CXCR4;PLCB1
KEGG_2021_Human	Human immunodeficiency virus 1 infection	4/212	9.140125e-04	7.126021e-03	0	0	1.026559e+01	7.183519e+01	NFKBIA;CXCR4;FASLG;CD247
KEGG_2021_Human	TGF-beta signaling pathway	3/94	9.416685e-04	7.126021e-03	0	0	1.723655e+01	1.201018e+02	SMAD3;TGFBR1;SMAD7
KEGG_2021_Human	Lipid and atherosclerosis	4/215	9.629758e-04	7.126021e-03	0	0	1.011810e+01	7.027508e+01	LYN;NFKBIA;FASLG;PLCB1
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	1.126327e-03	7.332789e-03	0	0	1.616549e+01	1.097442e+02	SMAD3;PLCB1;TGFBR1
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	3/100	1.126327e-03	7.332789e-03	0	0	1.616549e+01	1.097442e+02	IL2RA;CXCR4;IL2
KEGG_2021_Human	Human cytomegalovirus infection	4/225	1.139555e-03	7.332789e-03	0	0	9.655375e+00	6.543561e+01	NFKBIA;CXCR4;FASLG;PLCB1
KEGG_2021_Human	NF-kappa B signaling pathway	3/104	1.261278e-03	7.777882e-03	0	0	1.552215e+01	1.036201e+02	LYN;NFKBIA;CARD11
