#expressedGenes,#expressedDiseaseGenes,lcc,lcczscore
4408,7,2,3.007114
9001,15,3,1.61578
2377,3,1,-0.204124
5846,13,3,3.841749
8691,16,4,4.137648
7240,11,1,-0.423547
6342,9,3,4.300232
9279,15,3,3.131935
7557,10,1,-0.423547
5721,10,3,3.766127
5502,9,2,1.271715
7866,12,2,1.832261
1651,2,1,0.0
7808,16,4,4.079301
7390,11,3,4.737271
1399,1,1,0.0
1401,2,1,-0.142857
8048,16,3,1.716048
2529,3,1,-0.100504
2797,2,1,0.0
9100,14,3,2.779091
3931,5,1,-0.261488
6983,12,2,1.386771
5608,9,2,1.962991
2985,6,1,-0.294884
2649,3,1,-0.204124
9227,16,3,2.352859
6050,11,2,1.555032
4452,5,1,-0.229416
4718,5,1,-0.204124
3592,6,1,-0.281939
1872,4,1,-0.274352
4560,7,2,4.358899
5427,12,2,1.572427
3295,6,1,-0.333333
4643,8,3,5.728716
4938,6,2,5.686241
2478,2,1,0.0
7336,12,2,1.942385
3496,5,1,-0.252646
7208,13,3,2.943628
6083,13,2,1.439699
7847,14,3,3.268233
7789,16,3,2.666667
7134,14,2,1.044185
1906,3,1,-0.175863
8152,14,3,3.362866
4155,9,1,-0.421965
3586,3,1,-0.100504
6918,12,3,2.664318
3552,7,2,1.950378
6506,11,3,4.242641
3563,7,3,4.779187
1777,3,1,-0.175863
9377,16,3,2.799023
7770,12,2,1.237179
4866,8,2,1.962991
2659,3,1,-0.204124
2911,7,2,2.586949
8201,11,3,4.559354
7156,13,3,3.271652
7460,11,2,2.137744
5286,9,1,-0.462798
8085,14,3,3.268233
7124,15,3,2.650548
3753,11,4,5.317051
8199,9,1,-0.301511
8661,14,4,2.668685
4379,4,2,4.358899
7751,14,3,2.95932
7025,11,2,1.942385
1694,2,1,-0.100504
4083,10,3,2.97551
8079,15,3,3.153846
7075,11,3,2.692736
8685,10,3,4.151579
2232,4,1,-0.204124
9194,14,3,3.463415
6259,10,1,-0.478261
5864,10,2,2.209605
7427,10,1,-0.468521
7491,11,3,4.445641
2754,5,1,-0.239957
7151,10,1,-0.320358
