,Cholesterol,Glucose,HbA1c,HDL Cholesterol,LDL Cholesterol,Triglycerides,Vitamin D,Eosinophil Count,High Light Scatter Retic. Count,Lymphocyte Count,Mean Corpuscular Hemoglobin,Mean Platelet Volume,Monocyte Count,Platelet Count,Red Blood Cell Dist. Width,Red Blood Cell Count,White Blood Count,Bone Mineral Density,Balding Type 1,BMI,Height,Waist-Hip Ratio,Diastolic blood pressure,Systolic Blood Pressure,Edu College,Smoking Status,Autoimmune disease,Allergy Eczema Diagnosed,Asthma Diagnosed,Cardiovascular disease,Dermatology,Diabetes Any Diagnosed,Endocrine Diabetes,High cholesterol,Hypertension Diagnosed,Psoriasis,Respiratory Ent,Type 2 diabetes,Thyroid Any Self Rep,FEV1\FVC Ratio,Forced Vital Capacity,Neuroticism,Chronotype (morning person),Hair Color,Tanning,Childless,Age of Menarche,#Children,Hypothyroidism Self Rep
Cholesterol,1.0,0.31938781502029245,0.26970742828679306,0.5769857477934736,0.7234361987173814,0.5788874778931309,0.1729909046178031,0.31503866552822934,0.4172180694757841,0.6981134182823919,0.5623201345820988,0.4557078180726304,0.6040589772307652,0.7279894748410123,0.48269076039518366,0.5676163470559836,0.5469442520634221,0.386924147946218,0.37672533040839684,0.39526195917912943,0.6512245815973369,0.6191134669497984,0.351751668177102,0.4726864107121842,0.25636164359994196,0.31708849685912943,0.5268577485584292,0.6699987398147583,0.7569001093620846,0.604249848767492,0.44661052433026316,0.42416435406147524,0.31530632360224864,0.3466847041132666,0.5289874187387003,0.4184099740828602,0.4253777717196858,0.3355271155026396,0.40410702863173986,0.26604164584038736,0.34914198414548536,0.2458793837542007,0.20407461161860452,0.17388186302279274,0.643131710073748,0.30528441359691094,0.4974979745628373,0.5602206372077785,0.11751413588152859
Glucose,0.31938781502029245,1.0,0.16497677907143293,0.24941087835751619,0.4787097230148747,0.24435715557724103,0.24913166813543475,0.32539921844065833,0.3243881524796923,0.30227872790053834,0.16520109170720154,0.23008149306712122,0.19847039849250114,0.2196056877484569,0.29975727972627175,0.3625060664771147,0.33426566026476245,0.0877767255769003,0.4568690113659859,0.6165858971018948,0.3035442287807668,0.29441400610027313,0.2035238230183951,0.3101003635593983,0.45373255060494455,0.34447439776896327,0.3559844448208629,0.24062606523713925,0.27786471440678984,0.32100454369962583,0.23848975167861286,0.38541989927252485,0.6335281258107007,0.4713204658397374,0.18976236993063578,0.2814328524480092,0.2323879632897694,0.3146959435771921,0.34275164525506585,0.45096427554716123,0.3359012248210854,0.1599020758174945,0.337655390269636,0.3000922984794847,0.3496943814240465,0.11662583512096258,0.269157823097547,0.3691406954830302,0.16676092771688023
HbA1c,0.26970742828679306,0.16497677907143293,1.0,0.3446629027356032,0.31518206722310316,0.27530481771544757,0.42401006296820665,0.4608121546672037,0.26550890608221667,0.31795106337980417,0.3717651637856594,0.1549215155310968,0.3038308269327388,0.28617441130722865,0.34372327754447707,0.250901987850241,0.1481815465241949,0.21705871105599073,0.37623480795355024,0.26765204811032617,0.2592406429926577,0.26893072855993316,0.41917143867129225,0.10686359264752598,0.43083946796074835,0.32492708519896984,0.37797627758508534,0.24826416758550995,0.2652268520873935,0.16099450693968764,0.3475175429427071,0.2740371778106655,0.18556509300187862,0.3059245170214324,0.2559101212243132,0.2712294019819268,0.4034083921919863,0.24013506019861885,0.5309838257437008,0.30674294387801526,0.2746616882639423,0.47107974186762,0.17401868104385432,0.4487013530777004,0.277307519066021,0.17311234988658275,0.1962567212961126,0.265521445817298,0.5250123264388545
HDL Cholesterol,0.5769857477934736,0.24941087835751619,0.3446629027356032,1.0,0.4441218681140072,0.542740286866191,0.20885163160525844,0.21242264658147625,0.4170710735125467,0.5295107740644582,0.5466024679731323,0.41153182750294737,0.46585888032388945,0.5111388690395056,0.5751116465819094,0.5920220461673579,0.3053661665281683,0.46927880245764797,0.17383409372141956,0.4035253649369799,0.5100513065662816,0.4545717144827237,0.24196896697574355,0.5194571506633832,0.27560471616936466,0.2674741992630556,0.42077564070030493,0.5220918645280944,0.47150024124662737,0.4932712783365796,0.5018790869216998,0.3286882266528517,0.3342310350907729,0.39787576834294935,0.5118100525108663,0.48435867349898487,0.26047194221133985,0.31802970178663226,0.19953631308142505,0.2703698239273056,0.32692695007594397,0.13048227460353,0.29333166080714945,0.13282329094787637,0.4557753918779339,0.21816824322836648,0.369330516951498,0.34168372814474113,0.030685477951565066
LDL Cholesterol,0.7234361987173814,0.4787097230148747,0.31518206722310316,0.4441218681140072,1.0,0.5405862661771527,0.24596101733610531,0.3068573184696636,0.6582346709271116,0.6822100534779757,0.38680295476462656,0.5358866562587327,0.42700802647250735,0.5068808328820469,0.6011808893287608,0.6556065062479343,0.6102472798073347,0.21568564066810003,0.3098724566548202,0.4780323001782003,0.6198540094185936,0.7438648459248117,0.39781930736076154,0.44468618043282915,0.46617569062782993,0.3079392753719019,0.4974835609903623,0.4961203811235019,0.5587817213961311,0.5810784823597757,0.45517698869468526,0.5000599826506046,0.5570208124569825,0.6362630696654327,0.4506003516011061,0.48525515062004154,0.2369570265267542,0.4637490258912629,0.42487918286670445,0.4290368977182021,0.31969191916866113,0.208527660295449,0.25140122397015763,0.2453801057659889,0.6296462202490917,0.19761391099010428,0.3839432883891257,0.4277675460164281,0.13284517920408412
Triglycerides,0.5788874778931309,0.24435715557724103,0.27530481771544757,0.542740286866191,0.5405862661771527,1.0,0.24689000340717748,0.2744391525066283,0.5251273132359013,0.6294734505468595,0.5555588521462902,0.514160097928796,0.48965658528166944,0.5325121565817768,0.44864374227185677,0.5749274249237606,0.437285818298764,0.42975148678690467,0.22008783562886503,0.33820229843532745,0.6957894682882071,0.6026704258013597,0.39004381809603805,0.5726226885861316,0.2706829428544524,0.3962466933406058,0.42269693062884195,0.4909559051268033,0.5697518036442666,0.6212108331722327,0.39170612048931,0.2692344118187894,0.38372592278441264,0.4328577036250243,0.5379810420060925,0.5018575187832878,0.3167478081773468,0.37252838072801087,0.36622821237028913,0.3880502741019042,0.3720219763411776,0.19480779571422435,0.2486623582274906,0.2076238003101798,0.5151684586744633,0.2598827441682081,0.5029752086093866,0.401095773494771,0.1500643562372721
Vitamin D,0.1729909046178031,0.24913166813543475,0.42401006296820665,0.20885163160525844,0.24596101733610531,0.24689000340717748,1.0,0.5557586503233988,0.3391706014938166,0.3025358509698951,0.1932059396461523,0.3652556038003152,0.29171531039344556,0.13945692970680723,0.13163744185077508,0.22909165255337127,0.38456884468876895,0.16614537827292164,0.4959298167746986,0.46172747266665803,0.1814026021848738,0.27122032086791137,0.5795715340224648,0.36214826914889775,0.5236241819201582,0.440750437930295,0.4543015021424026,0.2434204469053658,0.1902908337285235,0.3391368927210858,0.3398510001391002,0.2605510963116513,0.36622932298833577,0.2760607247185385,0.40865739665587597,0.46452031991562026,0.2076345452599513,0.21557979735007915,0.5748972228584655,0.3136982835158765,0.5869935886777964,0.4687415834946691,0.5331084313297832,0.6756493155953534,0.11589488440850393,0.09955360939827718,0.09496320264237124,0.21286121782141598,0.6049950395633091
Eosinophil Count,0.31503866552822934,0.32539921844065833,0.4608121546672037,0.21242264658147625,0.3068573184696636,0.2744391525066283,0.5557586503233988,1.0,0.2503984319096766,0.3652091569061704,0.39156387785484337,0.234632000879883,0.4780931354733102,0.40414747099849224,0.0929147056725046,0.22095943437181464,0.3865795434867525,0.1836726132635803,0.7869246261253604,0.4407129333798897,0.3729051720756398,0.283426107786821,0.4106446242972248,0.2691960781424598,0.5912739989418822,0.3480486408147082,0.5207780315644093,0.39236854256792375,0.34046715387246307,0.32882789969418313,0.31888373552821503,0.23563656568695102,0.21664917621389812,0.20800628599868742,0.28119007897326775,0.44241628473589834,0.3388527536062129,0.1397361863329163,0.6672657362038211,0.3780364381379818,0.6010878213006317,0.3025016269196166,0.22541239100887833,0.5062429395825135,0.1319125240162632,0.13045711734115162,0.19960080644953182,0.33501064315375606,0.5663043371180986
High Light Scatter Retic. Count,0.4172180694757841,0.3243881524796923,0.26550890608221667,0.4170710735125467,0.6582346709271116,0.5251273132359013,0.3391706014938166,0.2503984319096766,1.0,0.6097729925118124,0.3373890996889407,0.7782361599257308,0.299335335587926,0.39631478081158855,0.5804480131901009,0.6321124304748591,0.5772545295200097,0.3659341744891904,0.12346387879576637,0.36395007391443523,0.537208465460193,0.7227643023252496,0.435321063859879,0.4395169197993102,0.4144867847228879,0.3982124071649804,0.49425486158263543,0.365450512532981,0.3625518674862527,0.5444370950082807,0.47601618410335256,0.3138067422966039,0.5765283228199505,0.5525322381439828,0.44590534714573415,0.5753212241109132,0.25215322441715404,0.3759073074449093,0.32284446305630177,0.5423081983501812,0.31729724937165305,0.21064630545081375,0.274190915788038,0.28279696473452043,0.4910377986233194,0.2093612603899383,0.4560608517372895,0.3680655091412026,0.1123773718932014
Lymphocyte Count,0.6981134182823919,0.30227872790053834,0.31795106337980417,0.5295107740644582,0.6822100534779757,0.6294734505468595,0.3025358509698951,0.3652091569061704,0.6097729925118124,1.0,0.6496258614153536,0.5426605058006237,0.6285560922551015,0.7263861949695665,0.4426394118193999,0.5646046799937894,0.6646268048427003,0.339732241828379,0.298152640253347,0.36406139277794036,0.7097615167821113,0.818175619544321,0.4905884077480085,0.5265016577312239,0.32325861391925426,0.47349546597560144,0.5099983556822019,0.7478506291273034,0.7449059685778803,0.6936591735833776,0.5728171607760085,0.2597479299234874,0.5089570226735962,0.57467817088762,0.6681052371001598,0.57440695483691,0.386939040972768,0.27735287240969553,0.39123219876391935,0.38056474186860934,0.4166615504776243,0.3198313581328901,0.2855482480238527,0.22740785118951634,0.6289773432768946,0.2517777964675313,0.44832436269692655,0.3378713105070127,0.09465330703096975
